frequency_cyc_px,orientation_deg,mag_error,phase_error,snr_or_severity
6.25000000000000000e-02,70.000000,-2.78539228494043112e-01,-2.26187112078335417e-04,20 dB
1.25000000000000000e-01,70.000000,-7.59906964036016763e-01,2.49087427977023879e-05,20 dB
2.50000000000000000e-01,70.000000,-1.56589449833637873e+00,3.14133648795823461e+00,20 dB
1.56250000000000000e-02,75.000000,-7.20655462159547344e-04,3.20218202444877420e-04,20 dB
3.12500000000000000e-02,75.000000,-1.79205872992592163e-02,1.36842638008616291e-04,20 dB
6.25000000000000000e-02,75.000000,-2.76073190884800812e-01,2.75869726757527189e-04,20 dB
1.25000000000000000e-01,75.000000,-7.60808152167102736e-01,-2.18787828334399137e-04,20 dB
2.50000000000000000e-01,75.000000,-1.56495747674196783e+00,3.14124492366776398e+00,20 dB
1.56250000000000000e-02,80.000000,-6.29019640865813301e-04,1.40503108138290145e-04,20 dB
3.12500000000000000e-02,80.000000,-1.77179340792387729e-02,-2.09220253086783714e-05,20 dB
6.25000000000000000e-02,80.000000,-2.74019954382449360e-01,-1.75469452129650705e-04,20 dB
1.25000000000000000e-01,80.000000,-7.61910370628919864e-01,-2.72292591842138165e-04,20 dB
2.50000000000000000e-01,80.000000,-1.56532119603529463e+00,-3.14127486509667708e+00,20 dB
1.56250000000000000e-02,85.000000,-6.33656190109549433e-04,-8.31219325481136195e-05,20 dB
3.12500000000000000e-02,85.000000,-1.75996884215036953e-02,-3.94061705488724101e-05,20 dB
6.25000000000000000e-02,85.000000,-2.72671904170714519e-01,1.91173373892183918e-04,20 dB
1.25000000000000000e-01,85.000000,-7.62777052577619741e-01,1.58442746354126029e-04,20 dB
2.50000000000000000e-01,85.000000,-1.56396933148454709e+00,-3.14140835462387269e+00,20 dB
1.56250000000000000e-02,90.000000,-8.38102612462893193e-04,2.80569608243297353e-04,20 dB
3.12500000000000000e-02,90.000000,-1.70456880013735712e-02,6.53618460680682745e-04,20 dB
6.25000000000000000e-02,90.000000,-2.72016416818865348e-01,7.98810472752542466e-04,20 dB
1.25000000000000000e-01,90.000000,-7.63072862959806808e-01,1.57296112700766599e-03,20 dB
2.50000000000000000e-01,90.000000,-1.56313695132713026e+00,-3.14137772943544391e+00,20 dB
1.56250000000000000e-02,95.000000,-6.72772743586166899e-04,6.90294639245081498e-05,20 dB
3.12500000000000000e-02,95.000000,-1.75556583579256076e-02,3.57003769257957515e-05,20 dB
6.25000000000000000e-02,95.000000,-2.72774154008042558e-01,1.71642202363653240e-04,20 dB
1.25000000000000000e-01,95.000000,-7.62785462733435393e-01,3.05209358683278253e-04,20 dB
2.50000000000000000e-01,95.000000,-1.56396512545706323e+00,3.14146460180344977e+00,20 dB
1.56250000000000000e-02,100.000000,-7.26457024767951376e-04,-4.41667448622951042e-05,20 dB
3.12500000000000000e-02,100.000000,-1.75770967659803490e-02,-7.19087241796145804e-05,20 dB
6.25000000000000000e-02,100.000000,-2.74006558190412253e-01,-2.88580492368240016e-04,20 dB
1.25000000000000000e-01,100.000000,-7.61905781841790253e-01,-2.12702212680770941e-04,20 dB
2.50000000000000000e-01,100.000000,-1.56532082744274947e+00,-3.14159046400244435e+00,20 dB
1.56250000000000000e-02,105.000000,-6.40355032665879120e-04,-1.74255038547954655e-04,20 dB
3.12500000000000000e-02,105.000000,-1.78189617355499208e-02,-5.06822179859867106e-05,20 dB
6.25000000000000000e-02,105.000000,-2.76151700736042893e-01,1.19120894082058726e-05,20 dB
1.25000000000000000e-01,105.000000,-7.60819779844462918e-01,2.00037065863245545e-04,20 dB
2.50000000000000000e-01,105.000000,-1.56495896999193174e+00,3.14128683513351259e+00,20 dB
